iter	Passed	Remaining
0	140	139989
1	142	71290
2	145	48205
3	148	36903
4	150	30005
5	152	25322
6	154	21930
7	156	19398
8	158	17485
9	160	15900
10	162	14598
11	164	13508
12	165	12598
13	167	11821
14	169	11143
15	171	10548
16	173	10018
17	174	9543
18	176	9115
19	178	8729
20	179	8390
21	181	8081
22	183	7801
23	185	7547
24	187	7305
25	189	7086
26	190	6875
27	192	6677
28	194	6501
29	196	6340
30	197	6182
31	199	6044
32	201	5912
33	203	5779
34	205	5653
35	206	5534
36	208	5432
37	210	5333
38	212	5235
39	214	5147
40	216	5066
41	218	4991
42	220	4916
43	223	4846
44	225	4778
45	227	4721
46	229	4660
47	231	4596
48	233	4540
49	235	4482
50	237	4427
51	239	4374
52	242	4327
53	244	4281
54	246	4233
55	248	4190
56	250	4146
57	252	4101
58	254	4059
59	256	4016
60	258	3975
61	260	3939
62	262	3899
63	263	3860
64	266	3827
65	268	3797
66	270	3764
67	272	3732
68	274	3706
69	276	3677
70	278	3646
71	280	3618
72	282	3590
73	284	3562
74	286	3533
75	288	3506
76	290	3478
77	291	3451
78	294	3427
79	296	3407
80	298	3385
81	300	3361
82	301	3327
83	303	3304
84	304	3281
85	306	3261
86	308	3239
87	310	3222
88	312	3201
89	314	3180
90	316	3158
91	317	3136
92	319	3114
93	320	3093
94	324	3090
95	326	3074
96	328	3056
97	330	3041
98	332	3024
99	334	3009
100	336	2991
101	338	2977
102	340	2963
103	341	2946
104	343	2930
105	345	2917
106	347	2904
107	349	2890
108	351	2876
109	354	2866
110	356	2851
111	357	2838
112	360	2826
113	361	2813
114	363	2799
115	365	2786
116	367	2772
117	369	2762
118	371	2749
119	373	2738
120	375	2725
121	376	2710
122	378	2698
123	380	2686
124	382	2677
125	384	2666
126	385	2652
127	387	2642
128	390	2634
129	392	2625
130	394	2616
131	396	2606
132	398	2597
133	400	2587
134	403	2582
135	404	2572
136	407	2568
137	410	2561
138	412	2552
139	414	2544
140	416	2536
141	417	2523
142	419	2514
143	421	2506
144	423	2498
145	425	2490
146	427	2483
147	429	2473
148	431	2464
149	433	2455
150	435	2450
151	437	2442
152	439	2434
153	441	2425
154	443	2418
155	445	2410
156	447	2403
157	449	2394
158	451	2387
159	453	2378
160	454	2367
161	456	2362
162	458	2355
163	460	2347
164	462	2339
165	464	2333
166	466	2325
167	467	2316
168	469	2310
169	472	2304
170	474	2297
171	475	2291
172	477	2284
173	479	2277
174	481	2270
175	483	2264
176	485	2257
177	487	2251
178	490	2248
179	492	2243
180	494	2237
181	496	2232
182	498	2227
183	501	2225
184	504	2222
185	507	2220
186	510	2219
187	513	2219
188	517	2220
189	520	2217
190	522	2214
191	525	2213
192	529	2212
193	532	2211
194	535	2209
195	537	2204
196	539	2198
197	541	2194
198	545	2194
199	547	2191
200	550	2186
201	552	2183
202	555	2182
203	558	2178
204	560	2173
205	562	2167
206	564	2161
207	566	2158
208	569	2156
209	572	2154
210	575	2153
211	579	2152
212	581	2150
213	584	2147
214	587	2146
215	589	2140
216	593	2139
217	595	2137
218	598	2135
219	601	2133
220	605	2133
221	607	2130
222	610	2128
223	613	2123
224	615	2121
225	618	2119
226	621	2117
227	624	2114
228	627	2111
229	629	2108
230	632	2105
231	635	2102
232	637	2098
233	639	2094
234	642	2089
235	644	2087
236	647	2085
237	650	2083
238	653	2079
239	656	2077
240	659	2078
241	663	2076
242	666	2076
243	668	2071
244	672	2073
245	675	2068
246	677	2066
247	679	2061
248	682	2058
249	685	2056
250	688	2053
251	690	2049
252	693	2048
253	696	2046
254	700	2046
255	703	2044
256	706	2042
257	709	2041
258	712	2038
259	715	2035
260	717	2032
261	720	2030
262	724	2029
263	728	2031
264	731	2029
265	734	2025
266	737	2023
267	740	2021
268	742	2018
269	745	2014
270	747	2010
271	749	2007
272	753	2006
273	756	2005
274	759	2002
275	762	1999
276	765	1997
277	767	1994
278	770	1991
279	772	1987
280	775	1983
281	777	1980
282	779	1975
283	781	1970
284	783	1966
285	786	1962
286	788	1957
287	790	1953
288	793	1951
289	796	1950
290	800	1950
291	804	1950
292	806	1946
293	808	1942
294	811	1938
295	813	1934
296	815	1929
297	817	1925
298	819	1921
299	821	1917
300	824	1915
301	827	1912
302	830	1910
303	833	1908
304	836	1906
305	839	1904
306	843	1903
307	846	1902
308	849	1899
309	852	1897
310	855	1896
311	859	1894
312	862	1892
313	865	1890
314	869	1890
315	872	1889
316	875	1887
317	879	1887
318	883	1886
319	886	1884
320	889	1880
321	891	1877
322	894	1875
323	897	1872
324	901	1871
325	904	1870
326	908	1868
327	911	1867
328	916	1869
329	921	1869
330	923	1867
331	927	1865
332	928	1860
333	930	1856
334	933	1852
335	935	1848
336	937	1844
337	939	1840
338	942	1837
339	944	1833
340	946	1829
341	948	1824
342	950	1819
343	952	1816
344	954	1812
345	956	1808
346	959	1805
347	961	1801
348	963	1797
349	965	1793
350	967	1789
351	969	1785
352	972	1781
353	974	1777
354	975	1773
355	977	1769
356	979	1764
357	981	1760
358	983	1756
359	986	1753
360	988	1749
361	990	1746
362	992	1742
363	995	1739
364	997	1735
365	1000	1732
366	1003	1730
367	1006	1727
368	1008	1725
369	1011	1722
370	1014	1720
371	1018	1719
372	1021	1717
373	1024	1715
374	1027	1711
375	1029	1707
376	1031	1704
377	1034	1701
378	1036	1698
379	1038	1695
380	1041	1691
381	1043	1688
382	1046	1685
383	1049	1683
384	1051	1680
